UniqueSampleID,UMAP1,UMAP2,TREAT1_clean,condition,MS_batch_proxy
20251001_XZ_YD_15,4.705426314857435,2.865337584927244,low,高海拔,20251001
20251001_XZ_YD_16,5.29452047684474,1.2379151329542828,high,高海拔,20251001
20251001_XZ_YD_17,4.846937278297377,2.1840290770079327,low,高海拔,20251001
20251001_XZ_YD_18,5.205728152778578,1.8008963808561993,high,高海拔,20251001
20251001_XZ_YD_19,4.732422450569105,3.3279542669798565,control,高海拔,20251001
20251001_XZ_YD_20,4.418673614051771,2.9592926249052716,control,高海拔,20251001
20251001_XZ_YD_21,4.407372096565199,3.116271708920164,control,高海拔,20251001
20251001_XZ_YD_22,4.6226278338698865,2.926585887386961,control,高海拔,20251001
20251001_XZ_YD_23,5.247708419349623,1.690537188961668,low,高海拔,20251001
20251001_XZ_YD_24,4.063344100501967,3.7926780924345684,low,高海拔,20251001
20251001_XZ_YD_25,4.146761754539442,3.5635196909453106,low,高海拔,20251001
20251001_XZ_YD_26,4.058868268516493,3.581065867855711,low,高海拔,20251001
20251001_XZ_YD_27,5.775173762824965,1.2956094488646221,low,高海拔,20251001
20251001_XZ_YD_28,4.480448344734144,2.9140605673338604,low,高海拔,20251001
20251026_FJ_PT_P31,0.521095851448012,1.9373957857634259,control,湿热,20251026
20251026_FJ_QZ_Q73,0.5120727811126238,-0.2603282585595418,control,湿热,20251026
20251026_FJ_QZ_Q74,0.5383762214450365,-0.4105486154411603,low,湿热,20251026
20251026_FJ_QZ_Q75,0.3811144773034578,-0.39794227032406815,low,湿热,20251026
20251026_FJ_QZ_Q76,0.5768954847125536,-0.42529089300377854,high,湿热,20251026
20251026_FJ_QZ_Q77,4.112152913597059,-8.978968884036378,high,湿热,20251026
20251026_FJ_QZ_Q78,0.43790760078711566,-0.3216757729504872,high,湿热,20251026
20251026_FJ_QZ_Q79,0.5547262523440843,-0.32470565585835465,control,湿热,20251026
20251026_FJ_QZ_Q80,0.6222440693645006,-0.3079038813565541,low,湿热,20251026
20251026_FJ_QZ_Q81,0.4376906845836168,-0.14263116864903458,low,湿热,20251026
20251026_FJ_QZ_Q82,0.4300450924901491,1.8730175241972638,control,湿热,20251026
20251026_FJ_QZ_Q83,0.5175848398475176,-0.026278521106081087,control,湿热,20251026
20251104_FJ_FQ_F178,1.2212892565993791,2.1021918997313214,low,湿热,20251104
20251104_FJ_FQ_F179,1.0036828909186846,1.9402167543913555,high,湿热,20251104
20251107_XZ_YD_2,5.606713393714857,2.6845657572294903,low,高海拔,20251107
20260527_XZ_GG_1,5.358047107246351,-7.694651867434817,low,高海拔,20260527
20260527_XZ_GG_2,4.209584573295546,-9.45086314825757,low,高海拔,20260527
20260527_XZ_GG_3,4.575764754798842,-10.767178799197511,low,高海拔,20260527
20260527_XZ_GG_4,5.385975936439467,-7.737716461703616,low,高海拔,20260527
20260527_XZ_GG_5,4.7587338481215955,-10.799343372866945,low,高海拔,20260527
20260527_XZ_GG_6,4.632164577033949,-10.707918430850343,low,高海拔,20260527
20260527_XZ_GG_7,5.345984080818129,-7.572040344760256,low,高海拔,20260527
20260527_XZ_GG_8,4.047437766578627,-8.982154156253175,low,高海拔,20260527
20260527_XZ_GG_9,4.080811122444105,-9.549969936892824,low,高海拔,20260527
20260527_XZ_GG_10,4.738842586067152,-10.408082272097902,low,高海拔,20260527
20260527_XZ_GG_11,4.560664752510023,-10.760459209964113,low,高海拔,20260527
20260527_XZ_GG_12,4.6889706645278455,-10.52211787848218,low,高海拔,20260527
20260527_XZ_GG_13,5.072638610389662,-7.845351959750491,low,高海拔,20260527
20260527_XZ_GG_14,4.152894834068251,-9.811075474307374,low,高海拔,20260527
20260527_XZ_GG_15,5.4374376330642225,-7.625854279086428,low,高海拔,20260527
20260527_XZ_GG_16,5.055221179511976,-7.833540703341799,low,高海拔,20260527
20260527_XZ_GG_17,3.999214509513808,-9.577077175662355,low,高海拔,20260527
20260527_XZ_GG_18,4.625767806556654,-10.673527027652101,low,高海拔,20260527
20260527_XZ_GG_19,4.659222701576185,-10.698616291568117,low,高海拔,20260527
20260527_XZ_GG_20,4.489242652442885,-10.489937092349367,low,高海拔,20260527
20260527_XZ_GG_21,4.0290304217605115,-9.655451084658937,low,高海拔,20260527
20260527_XZ_GG_22,4.155119279411268,-8.632780338809328,low,高海拔,20260527
20260527_XZ_GG_23,-11.995990654441881,6.368937228634519,low,高海拔,20260527
20260527_XZ_GG_24,4.265649417427015,-9.409955288455324,low,高海拔,20260527
20260527_XZ_GG_25,5.3605686221389295,-7.695719028994875,low,高海拔,20260527
20260527_XZ_GG_26,4.065621474769545,-8.768874432132082,low,高海拔,20260527
20260527_XZ_GG_27,4.202128747489882,-8.702288891360597,low,高海拔,20260527
20260527_XZ_GG_28,5.124584296729994,-7.845179344699221,low,高海拔,20260527
20260527_XZ_GG_29,4.523197272804213,-8.779006268069582,low,高海拔,20260527
20260527_XZ_GG_30,4.402461150672865,-10.88045528082593,low,高海拔,20260527
20260527_XZ_GG_31,5.20754537918849,-9.878333355471925,high,高海拔,20260527
20260527_XZ_GG_32,4.14225635865016,-8.803366924807863,high,高海拔,20260527
20260527_XZ_GG_33,4.281070807960463,-8.674222256228761,high,高海拔,20260527
20260527_XZ_GG_34,4.452318767097426,-8.642873074099855,high,高海拔,20260527
20260527_XZ_GG_35,5.3174191508559705,-9.848695065066652,high,高海拔,20260527
20260527_XZ_GG_36,5.196579078224135,-9.67089488653882,high,高海拔,20260527
20260527_XZ_GG_37,5.193312743690443,-9.676707531497316,high,高海拔,20260527
20260527_XZ_GG_38,4.993826964881849,-7.937423016116457,high,高海拔,20260527
20260527_XZ_GG_39,4.173631289985609,-9.020849491641359,high,高海拔,20260527
20260527_XZ_GG_40,5.310527900245619,-9.764724995181398,high,高海拔,20260527
20260527_XZ_GG_41,4.625694373634291,-8.58807017950757,high,高海拔,20260527
20260527_XZ_GG_42,4.47760210373683,-8.87401988653882,high,高海拔,20260527
20260527_XZ_GG_43,4.127366879966688,-9.763775135562257,high,高海拔,20260527
20260527_XZ_GG_44,5.1757331881789685,-9.6768868222688,high,高海拔,20260527
20260527_XZ_GG_46,5.047189334419203,-9.788300777957277,high,高海拔,20260527
20260527_XZ_GG_47,5.191068271186781,-9.75273254065259,high,高海拔,20260527
20260527_XZ_GG_50,4.525179484870863,-9.882276798770265,high,高海拔,20260527
