"PG.ProteinGroups","logFC_primary","logFC_comparison"
"P08833",-0.178209063419658,-0.154496465022321
"P08865",-0.0779983390127317,-0.144160513646332
"P09104",-0.0231027461927606,-0.118448234389316
"P09172",0.418291202344525,0.366904505224518
"P09211",0.0579890860456711,-0.0162484281110107
"P09237",-0.269953663314205,-0.32512403337042
"P09326",-0.294415440144341,-0.303504842430053
"P09382",0.100236285975143,0.0587922308761133
"P09429",0.12325282353908,0.14112978063342
"P09486",-0.301366185765614,-0.3858714155082
"P09493",0.209315661145389,0.124205984376335
"P09603",-0.198819527528972,-0.246147087542111
"P09619",-0.0210570987355005,-0.0752704905239892
"P09668",-0.011340631964023,0.021449326379436
"P09871",-0.0537923813703323,-0.0925463296661846
"P09960",-0.18543527731461,-0.165014758813791
"P0C0L4",0.0448952850893658,0.0139219119277367
"P0C0L5",0.0590657948914917,0.00371698336843806
"P0DJI8",-0.0290538293897509,-0.124917293553798
"P0DJI9",0.00903441101367619,-0.0779685462314212
"P0DMV8;P0DMV9",0.027322478599844,-0.0297746284153515
"P0DOX2",0.0512566074440155,0.0164974031981835
"P0DOX3",0.289497281049446,0.279660987490002
"P0DOX5",0.108808499751268,0.0205285919833962
"P0DOX7",0.173093693572349,0.161425149407989
"P0DOX8",0.1744295984609,0.123073172310278
"P0DOY2;P0DOY3",0.11235875231316,0.0176122201916584
"P0DP02",0.273015388769526,0.250884119802249
"P0DP23;P0DP24;P0DP25",-0.0180282909874592,-0.102590302186236
"P0DPH7;P0DPH8",-0.110303166863112,-0.209514613641383
"P10124",-0.192914135248541,-0.240107415005271
"P10301",-0.0233353770438569,-0.0681475432248853
"P10321",0.0237193059210767,0.00845832577973837
"P10412",0.206769618395425,0.121088959116573
"P10451",-0.175942566604345,-0.201406587211959
"P10586",0.08122899439714,0.0428120240943262
"P10599",-0.156193233845947,-0.173431659300702
"P10619",-0.171990002504729,-0.194205203788661
"P10643",0.217410307123021,0.180982342355492
"P10644",0.116343924725276,0.0730000045814627
"P10645",-0.200253402791146,-0.21476834626038
"P10646",-0.114208023055893,-0.112672165219518
"P10768",0.0436492926592882,-0.00730366300561691
"P10809",0.0990518041687025,-0.0199452452090583
"P10909",-0.075188652394651,-0.121737236193056
"P11021",-0.0174602407592062,-0.0487375243322106
"P11047",-0.181175549009057,-0.219774074182439
"P11049",-0.231204531167107,-0.280292829657208
"P11142",-0.0792931803288948,-0.136695744885225
"P11150",0.0057936639506071,-0.00831838801354934
"P11166",-0.0239867138194114,-0.0884036385079305
"P11171",-0.316042222339327,-0.468137828618961
"P11215",0.0282792236013183,-0.0416105521673398
"P11217",-0.265022980550127,-0.0857151956037505
"P11226",0.500287009103152,0.517279610247684
"P11234",-0.086505660912076,-0.142545548735223
"P11277",-0.212754459602223,-0.351970060108046
"P11279",0.0524033957491872,-0.00734629034235112
"P11362",-0.197577573614248,-0.206938571551976
"P11413",0.230723267475265,0.174325167067685
"P11586",0.0781202586177008,-0.00731646804564878
"P11597",-0.0749963251572687,-0.155681293059208
"P11717",0.0858195009586664,-0.0119073385731276
"P11766",0.163462360433758,0.0437885146883126
"P11940",0.0976831277100434,0.0674983812889431
"P12109",-0.0568090456549601,-0.100871482226761
"P12110",-0.0534571287308871,-0.0829833926816477
"P12111",-0.0238183736592923,-0.0662633716538004
"P12259",-0.175451456143762,-0.205705526630101
"P12273",-0.139926346237589,-0.208924386708032
"P12814",0.010861617724391,-0.0402505498547896
"P12821",0.0190117993696983,-0.0357397668338173
"P12830",-0.0366049640003077,-0.0589844698592756
"P12931",-0.0136700710524362,-0.0717888576871886
"P12955",0.14910403026775,0.116428854231765
"P13224",-0.0584149244767129,-0.122449024482419
"P13473",0.274265105604838,0.244782112293803
"P13489",0.133867564498933,0.0484721945221587
"P13497",-0.0231706378161771,-0.0492219738978914
"P13591",-0.277618389303706,-0.279070689265863
"P13598",0.131663497261098,0.0837021372267763
"P13611",-0.176604919793615,-0.199957647121222
"P13612",-0.0809753550140275,-0.10304522052618
"P13639",0.0111181160744787,-0.0278065143985913
"P13645",-0.166929233236164,-0.186821872229652
"P13646",-0.019995456543846,-0.0543999743688293
"P13647",-0.306622966443189,-0.326147247424664
"P13667",0.0915215209576621,0.076124072399173
"P13671",0.146605934760702,0.160497122300885
"P13686",0.0205637856089735,0.037185977461089
"P13727",-0.172084916408801,-0.181212975794692
"P13796",0.135087881957917,0.10110699900615
"P13797",0.0605337786935696,-0.077013851002774
"P13798",-0.137811579730187,-0.246365669886049
"P13929",-0.0789469028255745,-0.209756178988613
"P13942",-0.214099416630445,-0.222597965767626
"P13987",-0.203581099192382,-0.266685148790975
"P14151",-0.0641653635418482,-0.0565825271705034
"P14209",-0.0348500690122044,-0.076475688085571
"P14314",-0.0653628207186348,-0.100513554984511
"P14317",-0.0778345383664867,-0.1853031531976
"P14543",-0.216575214211083,-0.2527010113287
"P14618",0.0351474720560976,-0.0709373368402968
"P14625",-0.128159314889242,-0.14464716669049
"P14649",-0.00402189056648794,-0.0633285516697857
"P14735",-0.0398874319370455,-0.0972187173845951
"P14770",0.00917345189994023,-0.0369826940494935
"P14780",0.0114673398531977,-0.0616650863739228
"P14923",-0.246206190595792,-0.252166560787296
"P15090",-0.176074078989426,-0.213447139232679
