"Protein","Control","N_observed_Control","N_total_Control","Short","N_observed_Short","N_total_Short","Long","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","logFC","adj.P.Val","Pattern_version","Tolerance_log2"
"P26572",8.7258730253861,153,153,9.17380227642153,185,186,8.6675872364637,176,176,0.447929251035426,-0.506215039957832,-0.0582857889224062,"Short_peak",-0.363749683883542,0.0130256964995006,"2.0",0.05
"Q9UGM3",8.45956831678309,148,153,8.80500124302645,183,186,8.37519328193369,170,176,0.345432926243358,-0.429807961092759,-0.0843750348494012,"Short_peak",-0.358368075190482,0.0133216298702043,"2.0",0.05
"Q86TY3",8.89987799169676,153,153,8.96962450935386,186,186,8.67218749212161,176,176,0.0697465176570944,-0.297437017232244,-0.22769049957515,"Short_peak",-0.254806361703793,0.0133216298702043,"2.0",0.05
"P16070",16.2876557797795,153,153,16.4104904255584,186,186,16.1538206496891,176,176,0.122834645778845,-0.256669775869263,-0.133835130090418,"Short_peak",-0.250512243953107,0.0133828821636621,"2.0",0.05
"Q92823",8.71847345686797,153,153,8.78149852050939,186,186,8.50334882052384,176,176,0.0630250636414154,-0.27814969998555,-0.215124636344134,"Short_peak",-0.311124250565447,0.0143087537456409,"2.0",0.05
"Q9ULI3",13.5477656753989,153,153,13.6790805236012,186,186,13.4598132086498,176,176,0.13131484820229,-0.219267314951377,-0.087952466749087,"Short_peak",-0.172724104273938,0.0146931632807243,"2.0",0.05
"Q02818",8.55576901441562,153,153,8.66277519656665,186,186,8.37828144402638,176,176,0.107006182151036,-0.284493752540273,-0.177487570389237,"Short_peak",-0.283677452961255,0.0148603035778247,"2.0",0.05
"Q504Y2",7.71315527316276,140,153,7.95144065621956,176,186,7.56086913704331,166,176,0.238285383056795,-0.390571519176246,-0.15228613611945,"Short_peak",-0.363995873900211,0.0148669001205594,"2.0",0.05
"Q92187",11.0240928522183,153,153,11.080918594244,186,186,10.8612746870555,176,176,0.0568257420256781,-0.219643907188523,-0.162818165162845,"Short_peak",-0.233118216179955,0.0148670651714849,"2.0",0.05
"P02760",15.7617717143238,153,153,15.8808098713899,186,186,15.6781208411957,176,176,0.119038157066166,-0.20268903019422,-0.0836508731280539,"Short_peak",-0.172662685662496,0.0149970712607733,"2.0",0.05
"Q53EL9",7.90812546401565,144,153,8.21594264875972,171,186,7.86997873632012,151,176,0.30781718474407,-0.345963912439597,-0.0381467276955272,"Short_peak",-0.301136788267518,0.0151539573323163,"2.0",0.05
