"Model","UniqueSampleID","Included","Environment_raw","Acquisition_raw","Age_raw","Sex_raw"
"Primary","20260527_XZ_GG_129",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_130",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_131",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_132",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_135",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_136",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_137",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_138",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_139",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_140",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_141",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_142",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_143",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_144",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_145",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_146",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_147",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_148",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_149",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_150",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_151",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_152",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_153",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_154",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_155",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_156",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_157",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_158",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_159",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_160",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_161",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_162",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_163",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_164",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_165",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_166",TRUE,"高海拔","20260527",,
