PG.ProteinGroups,FJ_FQ,FJ_PT,FJ_QZ,GZ_TH,XZ_GG,XZ_YA,XZ_YB,XZ_YC,XZ_YD
Q9NS69,0.04285714285714286,0.34615384615384615,0.04918032786885246,0.13008130081300814,0.14685314685314685,0.09090909090909091,0.0,0.058823529411764705,0.21428571428571427
Q9NS71,0.7857142857142857,0.6923076923076923,0.819672131147541,0.45528455284552843,0.4755244755244755,0.8181818181818182,0.6666666666666666,0.8823529411764706,1.0
Q9NS73,0.9714285714285714,1.0,0.9672131147540983,0.967479674796748,0.993006993006993,1.0,1.0,0.9705882352941176,1.0
Q9NS86,0.08571428571428572,0.6538461538461539,0.3770491803278688,0.10569105691056911,0.20279720279720279,0.3181818181818182,0.25,0.2647058823529412,0.25
Q9NSB2,0.24285714285714285,0.38461538461538464,0.13114754098360656,0.2032520325203252,0.13986013986013987,0.2727272727272727,0.25,0.20588235294117646,0.10714285714285714
Q9NSC7,0.8857142857142857,1.0,0.8688524590163934,0.7398373983739838,0.7902097902097902,1.0,1.0,0.9117647058823529,0.9285714285714286
Q9NSE4,0.12857142857142856,0.19230769230769232,0.04918032786885246,0.11382113821138211,0.14685314685314685,0.09090909090909091,0.08333333333333333,0.058823529411764705,0.25
Q9NSI6,0.5428571428571428,0.6538461538461539,0.3442622950819672,0.3170731707317073,0.13986013986013987,0.8181818181818182,0.5,0.7941176470588235,0.8571428571428571
Q9NT22,0.9714285714285714,1.0,0.9836065573770492,0.7642276422764228,0.972027972027972,1.0,1.0,1.0,1.0
Q9NT62,0.9714285714285714,1.0,1.0,0.926829268292683,0.916083916083916,0.9090909090909091,1.0,0.9117647058823529,0.8571428571428571
Q9NTJ5,0.38571428571428573,0.9615384615384616,0.4918032786885246,0.6585365853658537,0.6573426573426573,0.6818181818181818,0.8333333333333334,0.7352941176470589,0.75
Q9NTK5,1.0,1.0,1.0,0.9349593495934959,0.972027972027972,1.0,1.0,1.0,1.0
Q9NTU7,0.2571428571428571,0.34615384615384615,0.09836065573770492,0.21138211382113822,0.006993006993006993,0.5,0.08333333333333333,0.4117647058823529,0.5714285714285714
Q9NTX5,0.0,0.11538461538461539,0.13114754098360656,0.13821138211382114,0.15384615384615385,0.13636363636363635,0.16666666666666666,0.08823529411764706,0.2857142857142857
Q9NUB1,0.22857142857142856,0.5769230769230769,0.3114754098360656,0.2601626016260163,0.3076923076923077,0.22727272727272727,0.4166666666666667,0.29411764705882354,0.32142857142857145
Q9NUJ1,0.12857142857142856,0.3076923076923077,0.08196721311475409,0.13821138211382114,0.21678321678321677,0.13636363636363635,0.25,0.17647058823529413,0.35714285714285715
Q9NUQ9,0.9428571428571428,1.0,0.9672131147540983,0.9512195121951219,0.9440559440559441,0.9545454545454546,1.0,0.9705882352941176,0.9642857142857143
Q9NUU7;Q9UMR2,0.12857142857142856,0.3076923076923077,0.06557377049180328,0.13008130081300814,0.13286713286713286,0.13636363636363635,0.25,0.14705882352941177,0.39285714285714285
Q9NUV7,0.6428571428571429,0.7307692307692307,0.7704918032786885,0.43089430894308944,0.24475524475524477,0.6363636363636364,0.9166666666666666,0.8235294117647058,0.6785714285714286
Q9NUV9,0.18571428571428572,0.6923076923076923,0.22950819672131148,0.2926829268292683,0.3706293706293706,0.36363636363636365,0.5,0.2647058823529412,0.42857142857142855
Q9NV96,0.014285714285714285,0.038461538461538464,0.01639344262295082,0.06504065040650407,0.08391608391608392,0.2727272727272727,0.25,0.029411764705882353,0.17857142857142858
Q9NVA2,0.42857142857142855,0.9615384615384616,0.5901639344262295,0.5934959349593496,0.6293706293706294,0.6818181818181818,1.0,0.8823529411764706,0.8928571428571429
Q9NVC6,0.04285714285714286,0.34615384615384615,0.08196721311475409,0.08943089430894309,0.09090909090909091,0.09090909090909091,0.16666666666666666,0.14705882352941177,0.35714285714285715
Q9NVG8,0.07142857142857142,0.11538461538461539,0.16393442622950818,0.3333333333333333,0.20279720279720279,0.13636363636363635,0.16666666666666666,0.08823529411764706,0.2857142857142857
Q9NVI7,0.02857142857142857,0.2692307692307692,0.06557377049180328,0.10569105691056911,0.24475524475524477,0.13636363636363635,0.25,0.20588235294117646,0.35714285714285715
Q9NVJ2,0.12857142857142856,0.34615384615384615,0.11475409836065574,0.15447154471544716,0.20279720279720279,0.4090909090909091,0.3333333333333333,0.2647058823529412,0.5357142857142857
Q9NVT9,0.02857142857142857,0.11538461538461539,0.06557377049180328,0.056910569105691054,0.04895104895104895,0.18181818181818182,0.08333333333333333,0.0,0.14285714285714285
Q9NVZ3,0.014285714285714285,0.11538461538461539,0.04918032786885246,0.04878048780487805,0.07692307692307693,0.18181818181818182,0.25,0.17647058823529413,0.35714285714285715
Q9NW15,0.02857142857142857,0.15384615384615385,0.03278688524590164,0.11382113821138211,0.1258741258741259,0.13636363636363635,0.08333333333333333,0.20588235294117646,0.32142857142857145
Q9NW68,0.35714285714285715,0.6538461538461539,0.45901639344262296,0.15447154471544716,0.22377622377622378,0.5454545454545454,0.9166666666666666,0.5,0.5714285714285714
Q9NWV4,0.44285714285714284,0.8846153846153846,0.6065573770491803,0.3008130081300813,0.45454545454545453,0.5909090909090909,0.6666666666666666,0.5,0.6428571428571429
Q9NWZ3,0.12857142857142856,0.3076923076923077,0.18032786885245902,0.17886178861788618,0.1888111888111888,0.2727272727272727,0.5833333333333334,0.23529411764705882,0.35714285714285715
