PG.ProteinGroups,control_ge50pct,low_ge50pct,high_ge50pct,all_doses_ge50pct,control_ge60pct,low_ge60pct,high_ge60pct,all_doses_ge60pct,control_ge70pct,low_ge70pct,high_ge70pct,all_doses_ge70pct,control_ge80pct,low_ge80pct,high_ge80pct,all_doses_ge80pct
O15439,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
O15466,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O15498,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O15511,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O15533,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43143,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43149,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
O43150,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43157,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O43169,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43173,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
O43175,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43181,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43182,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43242,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
O43294,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
O43298,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43306,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43312,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43314,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43324,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43390,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43396,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O43399,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O43447,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43451,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43488,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
O43491,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O43493,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43504,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43505,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False
O43516,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43529,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O43548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43561,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43566,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43583,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43598,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43615,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43617,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43633,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
O43639,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43665,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
O43676,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43678,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43681,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O43684,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43704,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43707,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O43747,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
O43752,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43765,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43768,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43776,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43813,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
O43815,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43847,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
O43852,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O43865,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43866,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O43895,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43897,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O43915,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O43920,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60229,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False
O60234,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
O60240,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O60241,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60245,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O60256,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
O60262,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60269,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60279,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O60281,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60306,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False
O60313,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60330,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60437,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60462,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O60476,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O60488,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False
O60493,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O60496,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60506,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False
O60507,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60512,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60610,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O60613,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False
O60664,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O60667,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
O60687,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
