PG.ProteinGroups,control,high,low,unknown
O00471,0.16993464052287582,0.11363636363636363,0.15591397849462366,0.25
O00483,0.2679738562091503,0.3465909090909091,0.23118279569892472,0.5
O00487,0.8954248366013072,0.8352272727272727,0.8709677419354839,1.0
O00499,0.026143790849673203,0.045454545454545456,0.016129032258064516,0.0
O00505,0.24183006535947713,0.19318181818181818,0.1881720430107527,0.25
O00522,0.026143790849673203,0.005681818181818182,0.06989247311827956,0.0
O00533,1.0,1.0,1.0,1.0
O00560,0.9803921568627451,0.9659090909090909,0.989247311827957,1.0
O00571,0.5882352941176471,0.5681818181818182,0.6290322580645161,0.75
O00585,0.5294117647058824,0.5,0.5913978494623656,0.75
O00587,0.3660130718954248,0.3409090909090909,0.3118279569892473,0.75
O00592,1.0,1.0,1.0,1.0
O00602,0.9281045751633987,0.8636363636363636,0.9086021505376344,1.0
O00622,0.4444444444444444,0.4602272727272727,0.532258064516129,0.25
O00629,0.46405228758169936,0.4431818181818182,0.510752688172043,0.5
O00743,0.6470588235294118,0.6136363636363636,0.6666666666666666,0.75
O00748,0.32679738562091504,0.35795454545454547,0.3817204301075269,0.5
O14498,0.8888888888888888,0.9147727272727273,0.956989247311828,1.0
O14523,0.1503267973856209,0.1590909090909091,0.17204301075268819,0.25
O14558,0.41830065359477125,0.2784090909090909,0.41397849462365593,0.75
O14579,0.3660130718954248,0.29545454545454547,0.2849462365591398,0.75
O14594,1.0,1.0,1.0,1.0
O14602;P47813,0.9738562091503268,0.8863636363636364,0.9247311827956989,1.0
O14617,0.5163398692810458,0.4602272727272727,0.4731182795698925,1.0
O14618,0.5098039215686274,0.5,0.5268817204301075,0.5
O14645,0.9411764705882353,0.9090909090909091,0.946236559139785,1.0
O14646;O14647,0.32679738562091504,0.32954545454545453,0.3064516129032258,0.0
O14656,0.7973856209150327,0.7784090909090909,0.8440860215053764,1.0
O14672,1.0,0.9829545454545454,1.0,1.0
O14717,0.5098039215686274,0.5,0.6666666666666666,0.75
O14727,0.06535947712418301,0.09659090909090909,0.07526881720430108,0.0
O14732,0.3660130718954248,0.2840909090909091,0.24731182795698925,0.5
O14735,0.10457516339869281,0.11363636363636363,0.08064516129032258,0.25
O14737,0.5163398692810458,0.4715909090909091,0.43010752688172044,0.25
O14744,0.7058823529411765,0.6079545454545454,0.6021505376344086,0.25
O14745,1.0,0.9886363636363636,0.9946236559139785,1.0
O14773,0.738562091503268,0.7556818181818182,0.8387096774193549,1.0
O14775,0.17647058823529413,0.14772727272727273,0.15053763440860216,0.25
O14786,1.0,1.0,1.0,1.0
O14787,0.058823529411764705,0.09659090909090909,0.03763440860215054,0.25
O14791,1.0,1.0,1.0,1.0
O14818,0.9934640522875817,0.9772727272727273,0.9838709677419355,1.0
O14880,0.0196078431372549,0.06818181818181818,0.04838709677419355,0.25
O14920,0.0915032679738562,0.09090909090909091,0.053763440860215055,0.0
O14950;P19105,0.9934640522875817,0.9886363636363636,0.9946236559139785,1.0
O14960,1.0,1.0,1.0,1.0
O14964,0.4444444444444444,0.4375,0.45161290322580644,0.75
