"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","SE_moderated","DF_total","CI_high","CI_low","CI_status","Significance","Effect_rank"
"Q14520","High_vs_Low",-0.344859582489377,17.7652235911754,-4.15027761936659,3.8811577244848e-05,0.00320865829552815,1.96070021206284,TRUE,0.083093135957977,518.586669375703,-0.181619046053486,-0.508100118925268,"moderated_fit_95pct_CI","FDR < 0.05",72
"Q0VD83","High_vs_Low",-0.342918078277039,10.4164400313693,-3.9647236270911,8.37975980160914e-05,0.00377185485648467,1.26539664184893,TRUE,0.0864923032551039,518.586669375703,-0.172999711156084,-0.512836445397994,"moderated_fit_95pct_CI","FDR < 0.05",73
"O75487","High_vs_Low",-0.342779620231813,8.63209285874185,-4.17166485164974,3.54597542026574e-05,0.00317808047041317,2.04259978357757,TRUE,0.0821685423977086,517.586669375703,-0.181354763582433,-0.504204476881193,"moderated_fit_95pct_CI","FDR < 0.05",74
"O00339","High_vs_Low",-0.34008383057583,7.11179314684611,-3.01702716004191,0.0026892113078918,0.0241020563469803,-1.79147529617617,TRUE,0.112721501178367,476.586669375703,-0.118591258861159,-0.561576402290501,"moderated_fit_95pct_CI","FDR < 0.05",75
"Q9H251","High_vs_Low",-0.340042349521346,10.1743566385053,-3.8291107050261,0.000144332274319628,0.00443006302497877,0.776113897455027,TRUE,0.0888045229601236,518.586669375703,-0.165581513511072,-0.51450318553162,"moderated_fit_95pct_CI","FDR < 0.05",76
"Q15438","High_vs_Low",-0.339959923833076,9.7178601519215,-2.70575365316631,0.00706947366493631,0.0422401051479944,-2.60855290117431,TRUE,0.12564333912485,457.586669375703,-0.0930504331912392,-0.586869414474913,"moderated_fit_95pct_CI","FDR < 0.05",77
"O75787","High_vs_Low",-0.339441208497044,9.87541007003625,-3.6361000584041,0.000304429229992186,0.0071113664990785,0.107465023532867,TRUE,0.0933530989370041,518.586669375703,-0.156044472139227,-0.522837944854861,"moderated_fit_95pct_CI","FDR < 0.05",78
"O14594","High_vs_Low",-0.338048803475971,11.5404132603241,-4.44327643726295,1.08389276799422e-05,0.00222043175614817,3.11879712974412,TRUE,0.076080974985254,518.586669375703,-0.188584000806357,-0.487513606145585,"moderated_fit_95pct_CI","FDR < 0.05",79
"Q13217","High_vs_Low",-0.336995983888675,9.75793109598678,-2.91443259731054,0.0037175898580943,0.0293706507398877,-2.09945037255568,TRUE,0.115630048950062,517.586669375703,-0.109834061193486,-0.564157906583864,"moderated_fit_95pct_CI","FDR < 0.05",80
"Q3SY84","High_vs_Low",-0.336432145618353,9.58802080940412,-2.29576160983333,0.0221011546815248,0.0921309762014727,-3.59644854399025,FALSE,0.146544895679643,501.586669375703,-0.0485146918825302,-0.624349599354176,"moderated_fit_95pct_CI","Not significant",81
"Q9NP78","High_vs_Low",-0.336049527634415,10.6115179720627,-3.06622181371404,0.00228969442568467,0.0212378207322746,-1.66441167544797,TRUE,0.109597265967972,481.586669375703,-0.120701626730575,-0.551397428538255,"moderated_fit_95pct_CI","FDR < 0.05",82
"Q92859","High_vs_Low",-0.335777933302136,10.3580887885757,-4.20499461026952,3.07561899862387e-05,0.00294029176268442,2.17139955150684,TRUE,0.0798521673445413,518.586669375703,-0.178904438486827,-0.492651428117445,"moderated_fit_95pct_CI","FDR < 0.05",83
"P78509","High_vs_Low",-0.334544386095981,11.7936462855301,-2.87243952669659,0.00423995925570776,0.0311800080650509,-2.21372881669694,TRUE,0.116466990161746,518.586669375703,-0.105739278045996,-0.563349494145966,"moderated_fit_95pct_CI","FDR < 0.05",84
"Q08554","High_vs_Low",-0.334259103717493,10.2262778523657,-2.87940719238527,0.00414917403048705,0.0308285780296292,-2.19354274380321,TRUE,0.116086083483245,517.586669375703,-0.106201274791062,-0.562316932643924,"moderated_fit_95pct_CI","FDR < 0.05",85
"P13942","High_vs_Low",-0.333771095662177,9.11401878097648,-3.54014135250202,0.000435902127754929,0.00811796949611128,-0.212769045056826,TRUE,0.0942818555610166,518.586669375703,-0.148549771415429,-0.518992419908925,"moderated_fit_95pct_CI","FDR < 0.05",86
"Q13609","High_vs_Low",-0.333635306522108,7.5187821663947,-2.77435300029948,0.00573743108030667,0.0379146367242385,-2.46422709060767,TRUE,0.120256977567777,501.586669375703,-0.0973658505666384,-0.569904762477577,"moderated_fit_95pct_CI","FDR < 0.05",87
"P98160","High_vs_Low",-0.331180140853975,12.0119256250694,-4.34173897792126,1.70049085770336e-05,0.00236141885577988,2.70917339006531,TRUE,0.0762782245865315,518.586669375703,-0.181327831679123,-0.481032450028827,"moderated_fit_95pct_CI","FDR < 0.05",88
"O60245","High_vs_Low",-0.330959017285474,6.86650584901509,-2.76426181753042,0.0059478060518977,0.0382909821776414,-2.45247730963412,TRUE,0.119727811304485,434.586669375703,-0.0956414699078397,-0.566276564663108,"moderated_fit_95pct_CI","FDR < 0.05",89
"Q9BV94","High_vs_Low",-0.330906483518373,9.52629169095206,-3.50291702246326,0.000500672508643351,0.00911250129352759,-0.329199037553746,TRUE,0.0944659783250242,509.586669375703,-0.14531577357892,-0.516497193457826,"moderated_fit_95pct_CI","FDR < 0.05",90
"Q9NZT1","High_vs_Low",-0.330415746044755,10.0037100961864,-2.55104920229772,0.0110293151033654,0.0570976095964838,-3.02586615668546,FALSE,0.129521510501307,512.586669375703,-0.0759574257774986,-0.584874066312011,"moderated_fit_95pct_CI","Not significant",91
"O14960","High_vs_Low",-0.330381542453964,11.8546863734443,-2.14175429160232,0.0326784798931565,0.116569502902454,-3.93951015187752,FALSE,0.154257443885775,518.586669375703,-0.0273352366570779,-0.63342784825085,"moderated_fit_95pct_CI","Not significant",92
"P78527","High_vs_Low",-0.330113505870697,9.8700004456879,-1.24819077588416,0.212652325193376,0.428291340347334,-5.27178533595592,FALSE,0.264473598306205,422.586669375703,0.189734083933972,-0.849961095675366,"moderated_fit_95pct_CI","Not significant",93
"Q6E0U4","High_vs_Low",-0.329969550091183,9.8383231057984,-2.85092024823476,0.00453294379765781,0.0321794129002044,-2.27153826206646,TRUE,0.115741417282891,518.586669375703,-0.102589865508516,-0.55734923467385,"moderated_fit_95pct_CI","FDR < 0.05",94
"Q8WUJ3","High_vs_Low",-0.329895389440945,7.7314309567969,-2.14317214454008,0.0325777664925625,0.116569502902454,-3.92986530114438,FALSE,0.153928554120761,503.586669375703,-0.0274741318652614,-0.632316647016629,"moderated_fit_95pct_CI","Not significant",95
