"Protein","Control","Low","High","Pattern","logFC","adj.P.Val"
"P35625",8.94411324795718,9.17232215910491,8.64153346661495,"Low_peak",-0.369667180512963,0.0316209336344992
"P14543",12.2075260699101,12.3290422037079,12.0065673771206,"Low_peak",-0.280114957561084,0.0319001173783134
"Q6ZN30",15.5051024871463,15.5660098715279,15.2577285766806,"Low_peak",-0.253181013609394,0.0321794129002044
"Q08722",7.92595736256528,8.66897987021613,8.07403201990318,"Low_peak",-0.402388829694333,0.0321794129002044
"Q6UXI9",11.062409898762,11.2314163831683,10.8904971139406,"Low_peak",-0.303108420719528,0.0321794129002044
"Q6E0U4",9.77117664957767,10.0704811557373,9.65134589280485,"Low_peak",-0.329969550091183,0.0321794129002044
"P35030",11.2572740521598,11.3830773865535,11.1421839759529,"Low_peak",-0.226757645251675,0.0321975382179137
"P16150",11.719592557334,11.8574119282808,11.536603964944,"Low_peak",-0.253775326611992,0.0332895480101797
"P98164",10.1960573335716,10.5018186785521,10.1392056679413,"Low_peak",-0.481314449975043,0.0340384235664396
"Q5D862",9.74949112531904,9.84295971621638,9.5669363328339,"Low_peak",-0.313154762533696,0.0358150852205497
"Q16270",10.7443260810166,10.8361631748933,10.60760995041,"Low_peak",-0.28014361831114,0.0362334519700918
"P55291",7.82655476606508,8.03098700177387,7.68441326926837,"Low_peak",-0.349854445958238,0.0362334519700918
"Q96EE4",8.48961229500254,8.74909192057696,8.50250203366909,"Low_peak",-0.198086430051122,0.0369051920761932
"P08195",7.14506772365912,7.57229208356799,7.27485331434341,"Low_peak",-0.238850832608696,0.0369051920761932
"Q9H0B8",7.38782041594811,7.5697501053432,7.14675196525439,"Low_peak",-0.453311755660997,0.0369051920761932
"Q8TER0",9.05523893501144,9.41413591990202,9.12054481093457,"Low_peak",-0.239364621682418,0.0369051920761932
"Q9NPG4",9.54537483280223,9.75709726699964,9.45763849523077,"Low_peak",-0.285387676214157,0.0369051920761932
"P08575",10.3467609126518,10.5054570801153,10.2260313051219,"Low_peak",-0.207999322792395,0.0369051920761932
"Q9UBP4",10.6128180355268,10.7538101685041,10.4757277388668,"Low_peak",-0.233401783000335,0.0370321772677373
"P41222",9.64030760407438,9.84592469021943,9.60311599439226,"Low_peak",-0.194943625925434,0.0379146367242385
"Q13609",7.49313799298042,7.70443620222212,7.34115292953852,"Low_peak",-0.333635306522108,0.0379146367242385
"O75339",9.69524984961948,9.89086134789845,9.58965303763792,"Low_peak",-0.27351369897152,0.0380328957309912
"P08238",12.9997469825668,13.0321421428972,12.8002563186121,"High_suppression",-0.234764218216146,0.0381900572030871
"Q99542",10.9794009511655,11.1986872062032,10.8823029732097,"Low_peak",-0.241552947574224,0.0382458119101941
"P04233",9.26670333994879,9.43196635241518,9.18421419296657,"Low_peak",-0.222200729948437,0.0382458119101941
"O60245",6.81780718313274,7.05427520214583,6.69504381177721,"Low_peak",-0.330959017285474,0.0382909821776414
"Q7Z7M9",7.47215497124775,7.64054937731578,7.39928414793574,"Low_peak",-0.233993591837632,0.0382909821776414
"P39060",14.1186418903832,14.2779726102551,13.9928468403,"Low_peak",-0.215702776824871,0.0389796815457881
"Q8WWV6",10.2804249710299,10.4808328377122,10.1867032425187,"Low_peak",-0.282427471328401,0.0389796815457881
"Q9BYE9",9.28385281332904,9.52730646416485,9.13569962713795,"Low_peak",-0.380813061372482,0.0389796815457881
"Q9H1Z8",7.33618470673419,7.47522955385099,7.20848081970809,"Low_peak",-0.253334564529744,0.0394516166874149
"Q9UBS9",7.94300804026073,8.12352702760114,7.8364356743284,"Low_peak",-0.264965397549887,0.0398719515876813
"P01275",8.41816804460936,8.80790515077967,8.34832205752402,"Low_peak",-0.355378844900882,0.0398719515876813
"Q99784",8.83959963910521,9.20009124312681,8.92583480820761,"Low_peak",-0.232311989012283,0.0401338173643078
