"PG.ProteinGroups","Contrast","Detection_pattern","Restricted_candidate_60_or_70","Control_detection_rate","Short_detection_rate","Long_detection_rate","In_detection_analysis_universe","Primary_logOR","Primary_OR","Primary_SE","Primary_P","Primary_FDR","Primary_Model_status","Primary_N_samples","Acquisition_adjusted_logOR","Acquisition_adjusted_OR","Acquisition_adjusted_SE","Acquisition_adjusted_P","Acquisition_adjusted_FDR","Acquisition_adjusted_Model_status","Acquisition_adjusted_N_samples","Acquisition_matched_primary_logOR","Acquisition_matched_primary_OR","Acquisition_matched_primary_SE","Acquisition_matched_primary_P","Acquisition_matched_primary_FDR","Acquisition_matched_primary_Model_status","Acquisition_matched_primary_N_samples","Age_sex_logOR","Age_sex_OR","Age_sex_SE","Age_sex_P","Age_sex_FDR","Age_sex_Model_status","Age_sex_N_samples","Direction_concordant","Acquisition_sensitive","Model_status"
"A0A0B4J1U7","Low_vs_Control","Broad_detection",FALSE,0.947712418300654,0.989247311827957,0.971590909090909,TRUE,1.51102579917986,4.53137669352289,0.803453428360886,0.0600176633180326,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,1.51102579917986,4.53137669352289,0.803453428360886,0.0600176633180326,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0B4J1U7","High_vs_Control","Broad_detection",FALSE,0.947712418300654,0.989247311827957,0.971590909090909,TRUE,0.606736926380656,1.83443572312159,0.582527465150151,0.29761602466667,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.606736926380656,1.83443572312159,0.582527465150151,0.29761602466667,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0B4J1U7","High_vs_Low","Broad_detection",FALSE,0.947712418300654,0.989247311827957,0.971590909090909,TRUE,-0.904288872799199,0.404829668154429,0.846559212523987,0.285433329637641,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.904288872799199,0.404829668154429,0.846559212523987,0.285433329637641,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0B4J1V0","Low_vs_Control","Broad_detection",FALSE,0.980392156862745,0.962365591397849,0.965909090909091,TRUE,-0.514059372158197,0.598062884724435,0.705300065285391,0.466092191313469,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.514059372158197,0.598062884724435,0.705300065285391,0.466092191313469,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0B4J1V0","High_vs_Control","Broad_detection",FALSE,0.980392156862745,0.962365591397849,0.965909090909091,TRUE,-0.525655197786856,0.591167905546221,0.718083120319694,0.464152967489478,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.525655197786856,0.591167905546221,0.718083120319694,0.464152967489478,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0B4J1V0","High_vs_Low","Broad_detection",FALSE,0.980392156862745,0.962365591397849,0.965909090909091,TRUE,-0.0115958256286586,0.988471146840368,0.571605985466565,0.98381490762357,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.0115958256286586,0.988471146840368,0.571605985466565,0.98381490762357,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0B4J1V2","Low_vs_Control","Other_unbalanced",FALSE,0.640522875816993,0.71505376344086,0.727272727272727,TRUE,0.378897635814682,1.46067350743679,0.23701187233269,0.109899700738416,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.378897635814682,1.46067350743679,0.23701187233269,0.109899700738416,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0B4J1V2","High_vs_Control","Other_unbalanced",FALSE,0.640522875816993,0.71505376344086,0.727272727272727,TRUE,0.413740533687378,1.51246464234462,0.239325673572088,0.0838491534603038,0.710644042114769,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.413740533687378,1.51246464234462,0.239325673572088,0.0838491534603038,0.710644042114769,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0B4J1V2","High_vs_Low","Other_unbalanced",FALSE,0.640522875816993,0.71505376344086,0.727272727272727,TRUE,0.0348428978726957,1.03545702351973,0.236134336882922,0.882693650861824,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.0348428978726957,1.03545702351973,0.236134336882922,0.882693650861824,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0B4J1V6","Low_vs_Control","Other_unbalanced",FALSE,0.61437908496732,0.704301075268817,0.6875,TRUE,0.504227042380444,1.65570523574397,0.236217317615699,0.0327945432495849,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.504227042380444,1.65570523574397,0.236217317615699,0.0327945432495849,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
