"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","minus_log10_fdr","Status"
"P68366","High_vs_Control",-0.0450202805083411,10.3547113227835,-0.259864255746675,0.795071819412603,0.950002019891365,-5.56534284972308,FALSE,0.0222754713145825,"Not significant"
"P60842","High_vs_Control",0.0345988944184663,7.57945332986004,0.259565989124009,0.795304232832201,0.950002019891365,-5.5509664900844,FALSE,0.0222754713145825,"Not significant"
"Q9HBI1","High_vs_Control",-0.0427252200199533,9.30077354214207,-0.25865614714257,0.796004185263647,0.950002019891365,-5.56242914473486,FALSE,0.0222754713145825,"Not significant"
"P05109","High_vs_Control",0.0453236425271761,11.374811309215,0.258554391173804,0.796081663211886,0.950002019891365,-5.56606969096998,FALSE,0.0222754713145825,"Not significant"
"P26599","High_vs_Control",0.043143141136011,7.0134085607361,0.258137302091297,0.796436212156749,0.950002019891365,-5.46151367596311,FALSE,0.0222754713145825,"Not significant"
"P13497","High_vs_Control",-0.0231706378161771,9.69773799030464,-0.257276991257698,0.797067002689331,0.950002019891365,-5.56635506389153,FALSE,0.0222754713145825,"Not significant"
"P19021","High_vs_Control",-0.0265541281168566,9.82548248787503,-0.25640164828476,0.797742397617381,0.950002019891365,-5.56654980085818,FALSE,0.0222754713145825,"Not significant"
"P35612","High_vs_Control",0.0546292058700244,7.88962892276645,0.254171142458565,0.799477517712258,0.950002019891365,-5.51671596788985,FALSE,0.0222754713145825,"Not significant"
"Q9NRW1","High_vs_Control",-0.0450037233243563,8.79400216046024,-0.253729009804888,0.79980705823804,0.950002019891365,-5.56228476460846,FALSE,0.0222754713145825,"Not significant"
"Q96P67","High_vs_Control",-0.0468049642980723,10.1279413159114,-0.253615492861497,0.799923392438364,0.950002019891365,-5.44829840449006,FALSE,0.0222754713145825,"Not significant"
"P43487","High_vs_Control",0.0388247989105803,8.53349385615196,0.251540277158418,0.801505079625621,0.950002019891365,-5.53321843821871,FALSE,0.0222754713145825,"Not significant"
"P07948","High_vs_Control",-0.0478705033480171,8.1577435236341,-0.251119648314137,0.801834332238267,0.950002019891365,-5.5162309502326,FALSE,0.0222754713145825,"Not significant"
"P0DMV8;P0DMV9","High_vs_Control",0.027322478599844,9.49332050639304,0.250474682115452,0.802319482392001,0.950002019891365,-5.56785091304931,FALSE,0.0222754713145825,"Not significant"
"O15144","High_vs_Control",-0.0397937847110956,8.186134411709,-0.248610986527976,0.803764906299596,0.950002019891365,-5.54757317356936,FALSE,0.0222754713145825,"Not significant"
"P09104","High_vs_Control",-0.0231027461927606,11.6577824283136,-0.248056030456866,0.804189245808373,0.950002019891365,-5.56837312587117,FALSE,0.0222754713145825,"Not significant"
"O00533","High_vs_Control",-0.0234927937858149,9.02526859553548,-0.247870209533027,0.804332943207145,0.950002019891365,-5.56841303705473,FALSE,0.0222754713145825,"Not significant"
"P62333","High_vs_Control",-0.0332645012166877,7.97530198225185,-0.247219922734382,0.804852150068325,0.950002019891365,-5.50279316470576,FALSE,0.0222754713145825,"Not significant"
"Q9C075","High_vs_Control",-0.0296680571099861,7.25786873780116,-0.246219362066212,0.805621173284305,0.950002019891365,-5.50346004410616,FALSE,0.0222754713145825,"Not significant"
"P61769","High_vs_Control",-0.0243817685943259,10.7897548478479,-0.246119427515791,0.805687167429288,0.950002019891365,-5.5687876072998,FALSE,0.0222754713145825,"Not significant"
"P38646","High_vs_Control",-0.0469960188613214,6.92363372813106,-0.24500989440009,0.806571775250779,0.950002019891365,-5.47312106478204,FALSE,0.0222754713145825,"Not significant"
"A0A087WSX0","High_vs_Control",-0.0503543626064413,12.48746123952,-0.244894927515789,0.806635414756877,0.950002019891365,-5.56766728623259,FALSE,0.0222754713145825,"Not significant"
"Q8IZS8","High_vs_Control",-0.0212329888030212,9.69851791463775,-0.244042761316448,0.807316139125658,0.950002019891365,-5.47600588719706,FALSE,0.0222754713145825,"Not significant"
"P19320","High_vs_Control",-0.0143667798807741,10.0822398176976,-0.243689127055572,0.807567965305142,0.950002019891365,-5.56930315715778,FALSE,0.0222754713145825,"Not significant"
"P18206","High_vs_Control",0.03950485350334,9.12417010865966,0.236698983927245,0.812983789469381,0.955589142704174,-5.57075749336853,FALSE,0.0197287932989415,"Not significant"
"P20073","High_vs_Control",-0.0309212502124465,7.05300774943943,-0.235438449025269,0.813973547336718,0.955671215443924,-5.51960780809712,FALSE,0.0196914946254687,"Not significant"
"P49721","High_vs_Control",-0.0308844358279687,7.08669169987332,-0.234916548920886,0.81438648903241,0.955671215443924,-5.49304667144199,FALSE,0.0196914946254687,"Not significant"
"P17655","High_vs_Control",-0.0274604030461916,9.23033736729687,-0.233357543344062,0.815576038478831,0.955792179862778,-5.57100424651571,FALSE,0.0196365271279859,"Not significant"
"Q16643","High_vs_Control",-0.0392992485182608,6.81571424336733,-0.233015948946037,0.815867739471131,0.955792179862778,-5.46414126546099,FALSE,0.0196365271279859,"Not significant"
"P06702","High_vs_Control",0.0386467638049748,11.6268807621307,0.231481672071325,0.817031928467459,0.955792179862778,-5.571815405308,FALSE,0.0196365271279859,"Not significant"
"P02654","High_vs_Control",0.0185839196561268,17.1817592442441,0.23132230835166,0.817155657260646,0.955792179862778,-5.57184734840323,FALSE,0.0196365271279859,"Not significant"
"P22392","High_vs_Control",0.0334203516843115,7.5784641547145,0.227642945740859,0.820032895021397,0.956789368590735,-5.50861042338888,FALSE,0.0191836590120507,"Not significant"
"P25815","High_vs_Control",0.0459882568163614,7.70160159653353,0.226848129810812,0.820659610995542,0.956789368590735,-5.43613080640821,FALSE,0.0191836590120507,"Not significant"
"Q96Q06","High_vs_Control",-0.0248258635601104,8.04826891436327,-0.226373791137359,0.821001305119852,0.956789368590735,-5.56224134962978,FALSE,0.0191836590120507,"Not significant"
"Q15084","High_vs_Control",-0.0317952092597373,7.75158321354771,-0.22587401095045,0.821392532110343,0.956789368590735,-5.5488753622907,FALSE,0.0191836590120507,"Not significant"
"P60174","High_vs_Control",-0.0278771336600707,7.09476598543861,-0.223799128281674,0.823011564957965,0.956789368590735,-5.51897176864157,FALSE,0.0191836590120507,"Not significant"
"O00161","High_vs_Control",-0.0356448170386034,7.30420776889931,-0.223586221809893,0.82319383453736,0.956789368590735,-5.46749084518592,FALSE,0.0191836590120507,"Not significant"
"Q9H299","High_vs_Control",0.032271940531281,8.93409782314612,0.223007846523253,0.82361964647078,0.956789368590735,-5.56313965905643,FALSE,0.0191836590120507,"Not significant"
"Q9Y6W5","High_vs_Control",-0.0353651751808695,7.00052953994066,-0.222602296629901,0.82396110855092,0.956789368590735,-5.45936286158164,FALSE,0.0191836590120507,"Not significant"
"P53990","High_vs_Control",0.0393872842257181,8.00666791547254,0.22253499826654,0.824013159141951,0.956789368590735,-5.46054662914427,FALSE,0.0191836590120507,"Not significant"
"Q14254","High_vs_Control",0.0279754274101229,7.84812861760817,0.221165001532224,0.825052376039122,0.956955741871064,-5.56854253777286,FALSE,0.0191081473910202,"Not significant"
"O00151","High_vs_Control",-0.0420397834523776,9.42881383333041,-0.220430411339299,0.82562766426691,0.956955741871064,-5.54541976689526,FALSE,0.0191081473910202,"Not significant"
"Q92954","High_vs_Control",0.0222622823159462,12.2104989802304,0.219154780446968,0.826615706495955,0.956955741871064,-5.57422127972992,FALSE,0.0191081473910202,"Not significant"
"P04075","High_vs_Control",0.0273435550276808,9.79401082826091,0.218884962758829,0.826825776972279,0.956955741871064,-5.5742724690884,FALSE,0.0191081473910202,"Not significant"
"P36915","High_vs_Control",0.0382998165744119,6.89470262497097,0.217394670214255,0.828017589522101,0.957463256258533,-5.44076568010043,FALSE,0.0188778835842538,"Not significant"
"P61106","High_vs_Control",-0.0267669766779335,8.12271017991692,-0.216496728215792,0.828687215127098,0.957463256258533,-5.57026881691066,FALSE,0.0188778835842538,"Not significant"
"O00186","High_vs_Control",-0.0274344026970308,6.78926712778496,-0.215769712345941,0.829267339102578,0.957463256258533,-5.5064019286758,FALSE,0.0188778835842538,"Not significant"
"Q9H4A9","High_vs_Control",-0.0281300484584754,6.75008140747201,-0.214887678311494,0.829965070068519,0.957497916716216,-5.43467986884151,FALSE,0.0188621622780194,"Not significant"
"P61626","High_vs_Control",-0.0194289172040705,10.6027256520192,-0.212696020185401,0.831647651075701,0.958539803571386,-5.57542931584493,FALSE,0.0183898482397571,"Not significant"
"P35611","High_vs_Control",-0.0401435077480592,7.99141532554212,-0.211949318706241,0.832237758726231,0.958539803571386,-5.5401927011198,FALSE,0.0183898482397571,"Not significant"
"P67775","High_vs_Control",-0.0279616957373836,8.35020900472148,-0.211140256899523,0.8328734973849,0.958539803571386,-5.5179328983716,FALSE,0.0183898482397571,"Not significant"
"A2A3L6","High_vs_Control",-0.05313623632094,11.137421059523,-0.207771491958769,0.835502533137846,0.958841977145196,-5.50016999095087,FALSE,0.0182529612430317,"Not significant"
"P12821","High_vs_Control",0.0190117993696983,8.01600293478439,0.207021201881583,0.836074876322072,0.958841977145196,-5.57404527824888,FALSE,0.0182529612430317,"Not significant"
"P62081","High_vs_Control",0.0270909650199869,6.82648193393613,0.206941866825694,0.836154001088405,0.958841977145196,-5.4836954517215,FALSE,0.0182529612430317,"Not significant"
"Q8WVN8","High_vs_Control",-0.0494856711659288,10.9107653093074,-0.206604140961149,0.836410924284535,0.958841977145196,-5.5142358563111,FALSE,0.0182529612430317,"Not significant"
"P09619","High_vs_Control",-0.0210570987355005,10.0526943388665,-0.206502709839589,0.836479298053445,0.958841977145196,-5.57655377163669,FALSE,0.0182529612430317,"Not significant"
"O43897","High_vs_Control",-0.0186803911549838,9.74825856850589,-0.201658940477325,0.840272783855172,0.959880928214743,-5.52693719724946,FALSE,0.0177826371964382,"Not significant"
"P10301","High_vs_Control",-0.0233353770438569,7.11940284720664,-0.199543591166313,0.841939050763499,0.959880928214743,-5.46818877889536,FALSE,0.0177826371964382,"Not significant"
"Q15691","High_vs_Control",0.0372154400119475,7.53935632871841,0.199534136967452,0.841939354536781,0.959880928214743,-5.50939177426347,FALSE,0.0177826371964382,"Not significant"
"P49368","High_vs_Control",-0.0285225873281716,7.64874279870907,-0.199500873117886,0.84195362177218,0.959880928214743,-5.55707136318734,FALSE,0.0177826371964382,"Not significant"
"P36980","High_vs_Control",-0.0238603607804873,12.9073889442323,-0.196783980548278,0.844073683684506,0.959880928214743,-5.57825133524488,FALSE,0.0177826371964382,"Not significant"
"P18669","High_vs_Control",0.02688693354599,7.67957005667091,0.19657922112969,0.844240806582926,0.959880928214743,-5.54062094975261,FALSE,0.0177826371964382,"Not significant"
"O75083","High_vs_Control",-0.0320141608579299,9.19857322579188,-0.19585900627482,0.84479724475392,0.959880928214743,-5.57840863651023,FALSE,0.0177826371964382,"Not significant"
"P10321","High_vs_Control",0.0237193059210767,8.15859303886515,0.195837086443668,0.844825771291899,0.959880928214743,-5.51972588323934,FALSE,0.0177826371964382,"Not significant"
"Q92765","High_vs_Control",-0.0229285638847134,8.10868573676018,-0.193916118653512,0.846329537105215,0.959880928214743,-5.5001996054109,FALSE,0.0177826371964382,"Not significant"
"P36383","High_vs_Control",0.0325113386140075,10.3237257584624,0.193764950590839,0.846450050074973,0.959880928214743,-5.51942707511504,FALSE,0.0177826371964382,"Not significant"
"P29350","High_vs_Control",-0.0286051707741537,7.76326312547704,-0.193513672870495,0.846637450634393,0.959880928214743,-5.54427803502109,FALSE,0.0177826371964382,"Not significant"
"P18428","High_vs_Control",0.0209212628229842,12.3409508522869,0.192991593328123,0.847041110356855,0.959880928214743,-5.57889156011652,FALSE,0.0177826371964382,"Not significant"
"P11166","High_vs_Control",-0.0239867138194114,9.63053545606769,-0.191942713932439,0.847862649387948,0.959880928214743,-5.57758525964743,FALSE,0.0177826371964382,"Not significant"
"Q9UBV8","High_vs_Control",0.0222120205068661,6.73329936962312,0.191200566447641,0.848460071361918,0.959880928214743,-5.49386471273678,FALSE,0.0177826371964382,"Not significant"
"P08779","High_vs_Control",-0.0362156610405364,10.4071294344381,-0.190913567107222,0.848669347163284,0.959880928214743,-5.56666942847365,FALSE,0.0177826371964382,"Not significant"
"P13686","High_vs_Control",0.0205637856089735,7.36307304179888,0.189218426823108,0.85001057660855,0.959880928214743,-5.48423461907126,FALSE,0.0177826371964382,"Not significant"
"E9PAV3","High_vs_Control",-0.0211707333594582,7.39353717190484,-0.189060141907006,0.850137313204369,0.959880928214743,-5.47241470289604,FALSE,0.0177826371964382,"Not significant"
"P06454","High_vs_Control",-0.0165790631584404,10.8460514353362,-0.188487350162785,0.850569084692651,0.959880928214743,-5.57433900076044,FALSE,0.0177826371964382,"Not significant"
"Q7Z3Y7","High_vs_Control",-0.0214791508544359,15.3859550198003,-0.187021774399775,0.851717130168375,0.959880928214743,-5.57523157749109,FALSE,0.0177826371964382,"Not significant"
"P11021","High_vs_Control",-0.0174602407592062,10.2124101408684,-0.18696339674052,0.851762452473133,0.959880928214743,-5.57988359421165,FALSE,0.0177826371964382,"Not significant"
"P05090","High_vs_Control",0.0142644148510431,12.5090928069042,0.186905819587128,0.851807573440118,0.959880928214743,-5.57989291769145,FALSE,0.0177826371964382,"Not significant"
"P21333","High_vs_Control",0.0330186908649335,10.0672036214897,0.186227134726192,0.852339468890141,0.959880928214743,-5.58000260087252,FALSE,0.0177826371964382,"Not significant"
"Q13247","High_vs_Control",-0.020467853039305,7.94234157115541,-0.185694805474986,0.852781243058287,0.959880928214743,-5.46715230610247,FALSE,0.0177826371964382,"Not significant"
"P50225","High_vs_Control",0.0309944119597203,7.33280831682041,0.18470630090135,0.853545764950323,0.95998794269707,-5.5037184535646,FALSE,0.0177342215989871,"Not significant"
"P28070","High_vs_Control",0.0272567239356096,7.12327044596719,0.18313605834548,0.854784616184122,0.960589413792118,-5.47336638701655,FALSE,0.017462203827601,"Not significant"
"P0DP23;P0DP24;P0DP25","High_vs_Control",-0.0180282909874592,9.90508370868013,-0.18182795849008,0.855788928935987,0.960589413792118,-5.5802691458953,FALSE,0.017462203827601,"Not significant"
"P13646","High_vs_Control",-0.019995456543846,12.9634269236569,-0.180535020467043,0.856803092157934,0.960589413792118,-5.58090680712754,FALSE,0.017462203827601,"Not significant"
"Q99895","High_vs_Control",0.0267160519088669,9.29654255500529,0.179550615490966,0.857598485468702,0.960589413792118,-5.44236885356027,FALSE,0.017462203827601,"Not significant"
"P50502","High_vs_Control",-0.0172424174061359,9.6494178406413,-0.179293062900319,0.857777893274287,0.960589413792118,-5.58022492658892,FALSE,0.017462203827601,"Not significant"
"Q86SQ4","High_vs_Control",0.0136000793584703,7.91326394209216,0.178542602114881,0.858366593711656,0.960589413792118,-5.5812166771679,FALSE,0.017462203827601,"Not significant"
"P17858","High_vs_Control",0.0252024154238777,6.98373957697861,0.178037753516224,0.858769615398532,0.960589413792118,-5.55018266707297,FALSE,0.017462203827601,"Not significant"
"O14672","High_vs_Control",0.0189628334247729,8.30483304986782,0.176901967311737,0.859654862181624,0.960830142142205,-5.57877573015405,FALSE,0.017353381166455,"Not significant"
