"PG.ProteinGroups","logFC_20260527","logFC_20260717","Primary_significant"
"P02647",0.0708445019932498,0.0558485721609934,FALSE
"P02649",-0.125237944206365,-0.272868190317254,FALSE
"P02652",-0.177043024903927,0.00425821685616867,FALSE
"P02654",-0.178384168250009,-0.0512639186407498,FALSE
"P02655",-0.0692952834209883,-0.093954697941367,FALSE
"P02656",-0.138967172684763,-0.401785450638824,FALSE
"P02671",-0.433142958908348,-0.0450935188796127,FALSE
"P02675",-0.294349940965191,0.165735883337135,FALSE
"P02679",-0.347935693929131,0.0555972641722544,FALSE
"P02730",0.338676749860602,-0.13399860336612,FALSE
"P02743",-0.119207982872126,0.290331326948806,FALSE
"P02745",-0.304814570966162,0.278308971387226,FALSE
"P02746",-0.17909160957907,0.278610417194082,FALSE
"P02747",-0.212836174569157,0.246007179749341,FALSE
"P02748",0.0599552724208348,-0.39448484416919,FALSE
"P02749",-0.197892517685954,0.365810183065648,FALSE
"P02750",-0.181331546185239,0.435411688720581,FALSE
"P02751",-0.346973324103976,-0.0950613317260984,FALSE
"P02753",-0.274782231065917,-0.0283616070948636,FALSE
"P02760",-0.301140315505824,-0.119724342574013,TRUE
"P02763",-0.363900825886589,0.400979387811912,FALSE
"P02765",-0.115325310463511,-0.189447496936214,FALSE
"P02766",-0.126256659920676,-0.191207210013793,FALSE
"P02768",-0.660149389921738,0.310333709276808,FALSE
"P02774",-0.297413670408243,0.0231124159820375,FALSE
"P02775",0.258498554038864,-0.212782284836106,FALSE
"P02776",0.0863577150439312,-0.340042256374373,FALSE
"P02786",0.0560559445340854,-0.271801654695356,FALSE
"P02787",-0.214381679104791,0.373772102701428,FALSE
"P02788",-0.487632461806606,-0.360224946540411,FALSE
"P02790",-0.13942378889627,0.236122992606404,FALSE
"P03950",-0.381385311860054,-0.360366207212616,FALSE
"P03951",-0.175740893844869,-0.229194905759753,FALSE
"P03952",-0.164486415245046,-0.00747344611822953,FALSE
"P04003",-0.137291097449994,-0.0620662719864598,FALSE
"P04004",-0.284835690550981,-0.289446972581317,TRUE
"P04040",-0.0433424798756441,0.10162143054368,FALSE
"P04062",-0.231940806257287,-0.265017980814133,FALSE
"P04070",0.0248562718369989,-0.207523755979148,FALSE
"P04075",-0.155425919212798,0.638211924447067,FALSE
"P04083",-0.0653305179326678,0.625336351940651,FALSE
"P04114",0.36313198845972,-0.237893736760014,FALSE
"P04156",-0.242302346918495,-0.156603538899161,FALSE
"P04180",-0.0256930709115295,-0.326124763411396,FALSE
"P04196",0.016617093248664,-0.254355549377671,FALSE
"P04211",-0.0623440748687099,-0.00747042264825026,FALSE
"P04217",-0.184001860569762,0.359635359023148,FALSE
"P04233",-0.2377328837819,-0.144622674551643,TRUE
"P04259",-0.465980792714364,0.0171921501226961,FALSE
"P04264",-0.862436377391601,-0.0615416524239798,FALSE
"P04275",-0.171571016715621,-0.271676803581311,FALSE
"P04278",-0.148402991198031,-0.317172327759865,FALSE
"P04350",0.024709995134268,0.476012989329694,FALSE
"P04406",-0.350355776194247,0.191289139337968,FALSE
"P04439",-0.255740035066577,0.0743574538063001,FALSE
"P04632",-0.380367654261482,-0.0792276051500682,FALSE
"P04792",-0.567254685428862,0.358306407444921,FALSE
"P04839",-0.0162632226022605,0.970259067106126,FALSE
"P04899",-0.330145306222541,0.077207956414167,FALSE
"P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1",-0.0747227812613875,0.40084126818347,FALSE
"P04921",-0.208924833934047,0.148658014546496,FALSE
"P05019",-0.198039303762263,-0.295814539265479,TRUE
"P05023",-0.479665344450703,0.186993654503026,FALSE
"P05060",-0.37245369636066,-0.169839113337789,FALSE
"P05062",-1.7736464752561,-0.900465882223735,FALSE
"P05067",-0.168057366855708,-0.300067572306649,FALSE
"P05089",-1.04115871254026,-0.00122863580425303,FALSE
"P05090",-0.52807219263779,-0.211656509257358,TRUE
"P05106",-0.525796530070842,0.359889053842949,FALSE
"P05107",-0.243565424669226,0.0006962668094328,FALSE
"P05109",-0.140607087896683,0.826109558520965,FALSE
"P05121",-0.518654004084987,0.30899848695479,FALSE
"P05141",-0.472308317489805,0.628984581611782,FALSE
"P05154",-0.240398714488405,-0.469835413447807,TRUE
"P05155",-0.218930976502808,-0.124963503960657,FALSE
"P05156",-0.205398374274813,0.121085623913581,FALSE
"P05160",-0.252610871162835,0.37701110005586,FALSE
"P05164",-0.124244103613639,0.322766976522871,FALSE
"P05186",-0.466068401735963,0.432970958223075,FALSE
"P05198",0.0270255704491102,0.896771283613129,FALSE
"P05362",-0.300835299613615,0.0322339546670563,FALSE
"P05386",-0.565511273095495,0.365493916432439,FALSE
"P05387",-0.393247387590185,0.0762111506247214,TRUE
"P05388",-0.256091472791251,0.0614420904453512,FALSE
"P05452",-0.166448695401748,-0.102448337288243,FALSE
"P05543",-0.000886783683125003,-0.00960342202293418,FALSE
"P05546",0.182403995156289,-0.355423259802533,FALSE
"P05556",-0.285344554845175,0.114806688980755,FALSE
"P05997",-0.0374186146289111,-0.108425309234955,FALSE
"P06276",-0.164782071522509,0.14422573221894,FALSE
"P06310",0.123108564080107,-0.0186794372620493,FALSE
"P06312",-0.371425441058346,0.266162502762013,FALSE
"P06331",-0.228551248396526,-0.16863069366633,FALSE
"P06396",0.0638830773536654,-0.00783091410447412,FALSE
"P06454",0.176411950354172,0.367367455360998,FALSE
