"PG.ProteinGroups","Run","Contrast","logFC","SE_moderated","CI_low","CI_high","AveExpr","t","P.Value","adj.P.Val","B","N_observed_control","N_observed_low","N_observed_high"
"P35858","20260527","High_vs_Control",-0.0150941862874774,0.105523109859884,-0.223679796683262,0.193491424108307,12.0113454724355,-0.143041522444892,0.886458623112452,0.971907138665507,-6.20406562591795,30,66,46
"P63313","20260527","High_vs_Control",-0.0404454138999526,0.28511104125253,-0.604387892998926,0.523497065199021,9.02306613579794,-0.141858462310932,0.887406624433169,0.971907138665507,-6.18167789879993,30,61,41
"P50148","20260527","High_vs_Control",0.0394978569902094,0.279314587526568,-0.512831110120962,0.59182682410138,7.81878164259421,0.141409932578091,0.887753984974539,0.971907138665507,-6.17704551554977,29,65,42
"Q5D862","20260527","High_vs_Control",-0.0370610475897646,0.262339872453946,-0.555857505511362,0.481735410331833,9.14852202168599,-0.141271119952499,0.887864959310888,0.971907138665507,-6.18604178257129,29,62,44
"P30048","20260527","High_vs_Control",-0.059501000493464,0.427186885425789,-0.906093678767151,0.787091677780223,7.5569561408291,-0.139285644113718,0.889479359037389,0.972260979580584,-6.04013302702665,20,53,36
"P08779","20260527","High_vs_Control",0.0699174887288692,0.504175061140447,-0.927192299647085,1.06702727710482,10.0306943639695,0.138677007487668,0.889912190784914,0.972260979580584,-6.17266783629091,29,64,41
"Q8WXI7","20260527","High_vs_Control",-0.039263598364724,0.283754662783646,-0.602156668411367,0.523629471681918,6.69836616644414,-0.138371641119643,0.890222221889335,0.972260979580584,-6.00773055441974,21,51,28
"P20810","20260527","High_vs_Control",0.0430160512120956,0.314772875610902,-0.580271048411426,0.666303150835618,8.18725806935304,0.136657426814846,0.891532705286293,0.972951217184585,-6.11101247462446,25,56,37
"P27824","20260527","High_vs_Control",-0.0151311792479287,0.112049470561969,-0.236617328042506,0.206354969546649,11.2446491455279,-0.135040167276475,0.89276989172089,0.973560475078142,-6.20514178828869,30,66,46
"Q9UBQ6","20260527","High_vs_Control",0.083237780134521,0.619914386753649,-1.15286651827342,1.31934207854247,6.75045123991177,0.134273025296958,0.893567114453867,0.973689393713408,-5.87819072041851,15,32,23
"P12821","20260527","High_vs_Control",0.0264343464300776,0.199006714681605,-0.366962593415554,0.419831286275709,8.37197249239199,0.132831429695076,0.894514648743749,0.973800906071892,-6.20123577204241,30,66,45
"P01703","20260527","High_vs_Control",0.0266145189117424,0.201340006183141,-0.371470904391335,0.42469994221482,9.73077800004754,0.132186937987543,0.895027611020051,0.973800906071892,-6.19149404455422,29,64,45
"Q9Y4L1","20260527","High_vs_Control",-0.0172194845889742,0.131352122130158,-0.27686083336727,0.242421864189322,9.03686524785363,-0.131094072251922,0.895885027011921,0.973994790549731,-6.2056497316826,30,66,46
"A0A0C4DH34","20260527","High_vs_Control",0.0335689656591107,0.258900868684156,-0.479171453377505,0.546309384695726,8.57181500138628,0.129659532738235,0.897058479813213,0.974531712160718,-6.06475328126414,22,59,35
"P07358","20260527","High_vs_Control",0.0223173952727365,0.176557695756377,-0.326683972704871,0.371318763250344,13.2925995584978,0.126402846260132,0.899590670738019,0.976078662207239,-6.20623394214206,30,66,46
"Q93084","20260527","High_vs_Control",0.0537638791215507,0.426241511007271,-0.790468794131166,0.897996552374267,8.48657547151892,0.126134779774262,0.899843787613647,0.976078662207239,-6.1335942850795,26,50,39
"Q08188","20260527","High_vs_Control",-0.041057298161908,0.332787943526975,-0.699743079723438,0.617628483399623,7.7914595095089,-0.123373754850527,0.902011050715153,0.977565365552081,-6.13392990215355,26,58,39
"Q9Y646","20260527","High_vs_Control",0.0140771877295567,0.115214557215996,-0.213679000158234,0.241833375617347,8.49861315573958,0.122182370611083,0.902927225414236,0.977565365552081,-6.20674109271027,30,65,46
"P49257","20260527","High_vs_Control",-0.0223561180181004,0.184012744803617,-0.386401007088757,0.341688771052556,7.93386121386609,-0.121492226214871,0.903488637950474,0.977565365552081,-6.16008856013666,28,61,40
"Q562R1","20260527","High_vs_Control",-0.0401212648984828,0.331858863175879,-0.696107995612153,0.615865465815187,14.5743857729239,-0.120898578734717,0.903941195761548,0.977565365552081,-6.20689231775543,30,66,46
