"Protein","K","Cluster"
"Q8N3T1",6,1
"P07355",6,5
"P19320",6,2
"Q9UHF0",6,2
"Q86TH1",6,3
"Q08554",6,1
"P08833",6,1
"P78509",6,3
"Q15166",6,2
"P35625",6,6
"P14543",6,3
"Q6ZN30",6,5
"Q08722",6,5
"Q6UXI9",6,4
"Q6E0U4",6,2
"P35030",6,1
"P16150",6,6
"P98164",6,1
"Q5D862",6,1
"Q16270",6,4
"P55291",6,1
"Q96EE4",6,2
"P08195",6,2
"Q9H0B8",6,1
"Q8TER0",6,2
"Q9NPG4",6,3
"P08575",6,6
"Q9UBP4",6,6
"P41222",6,2
"Q13609",6,4
"O75339",6,4
"P08238",6,6
"Q99542",6,6
"P04233",6,6
"O60245",6,2
"Q7Z7M9",6,1
"P39060",6,6
"Q8WWV6",6,6
"Q9BYE9",6,3
"Q9H1Z8",6,1
"Q9UBS9",6,4
"P01275",6,2
"Q99784",6,2
"P60033",6,5
"O15031",6,2
"Q9NQ38",6,1
"Q11201",6,2
"A6NDG6",6,5
"Q08174",6,3
"Q8TDL5",6,5
"Q9NRB3",6,6
"O14645",6,1
"Q15438",6,5
"P48740",6,3
"Q9BYJ0",6,4
"Q15599",6,5
"P12830",6,2
"P07307",6,2
"P27169",6,2
"Q7Z7G0",6,4
"Q8NFU4",6,5
"Q641Q3",6,1
"P09871",6,3
"Q9Y6Z7",6,3
"P55157",6,5
"P15311",6,5
"P51148",6,5
"P13645",6,1
"P07333",6,4
