"Protein","Cluster","logFC","adj.P.Val"
"P60033",1,-0.245966667528393,0.0401338173643078
"O15031",1,-0.277159877752512,0.0406550179147925
"Q9NQ38",2,-0.306565365700257,0.0414059543430883
"Q11201",2,-0.355818971416977,0.0414059543430883
"A6NDG6",1,-0.273731301983248,0.0414841770085024
"Q08174",2,-0.280765091853819,0.0415314082900168
"Q8TDL5",3,-0.262831734242852,0.0415314082900168
"Q9NRB3",1,-0.263044446134774,0.0415314082900168
"O14645",1,-0.314808493026346,0.0415865376229244
"Q15438",2,-0.339959923833076,0.0422401051479944
"P48740",2,-0.277617067480957,0.0426134410627061
"Q9BYJ0",2,-0.272980237252302,0.0429509360730216
"Q15599",1,-0.287811132520919,0.0433108055520944
"P12830",2,-0.26114263492253,0.0435775298467781
"P07307",2,-0.327651646624734,0.0443630474367661
"P27169",1,-0.199260730955679,0.0444591551843874
"Q7Z7G0",1,-0.20097481755092,0.0444591551843874
"Q8NFU4",1,-0.316523061591061,0.0457519317699307
"Q641Q3",4,-0.296227815109768,0.045908908033961
"P09871",2,-0.220802752235368,0.0459445042393073
"Q9Y6Z7",2,-0.286338713153581,0.0459445042393073
"P55157",1,-0.31134046985193,0.0472353559355206
"P15311",1,-0.222941052605151,0.0473520498537741
"P51148",1,-0.286829540044971,0.0473520498537741
"P13645",4,-0.318538944006621,0.0473520498537741
"P07333",2,-0.233644655041504,0.0481355782757968
